Quote, Speaker
"It is only with the heart that one can see rightly; what is essential is invisible to the eye.", The Little Prince
"Grown-ups never understand anything by themselves, and it is tiresome for children to be always and forever explaining things to them.", The Little Prince
"What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...", The Little Prince
"All grown-ups were once children... but only few of them remember it.", The Little Prince
"And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.", The Little Prince
"But the conceited man did not hear him. Conceited people never hear anything but praise.", The Little Prince
"You become responsible, forever, for what you have tamed.", The Little Prince
"I am looking for friends. What does that mean -- tame?", The Little Prince
"Well, I must endure the presence of a few caterpillars if I wish to become acquainted with the butterflies.", The Little Prince
"The most beautiful things in the world cannot be seen or touched, they are felt with the heart.", The Little Prince
