"Know thy self, know thy enemy. A thousand battles, a thousand victories.", Sun Tzu
"All warfare is based on deception.", Sun Tzu
"The supreme art of war is to subdue the enemy without fighting.", Sun Tzu
"Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win.", Sun Tzu
"If you know the enemy and know yourself, you need not fear the result of a hundred battles.", Sun Tzu
"The greatest victory is that which requires no battle.", Sun Tzu
"Opportunities multiply as they are seized.", Sun Tzu
"Let your plans be dark and impenetrable as night, and when you move, fall like a thunderbolt.", Sun Tzu
"If you wait by the river long enough, the bodies of your enemies will float by.", Sun Tzu
"Tactics without strategy is the noise before defeat.", Sun Tzu
